ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
131,father,human,pai,ˈpaj,pai,paˈpɛ,paˈpɛ,ˈpape,papɛ,faːmaː,,ˈbabɐ,a'sĩ
132,name,human,nome,ˈnomɨ,nomi,ˈnomi,ˈnɔmi,ˈnɔ:mi,nɔmi,toː,,ˈĩɗe,katĩ
133,sing,human verb,cantar,kɐ̃ˈtaɾ,kanta,ˈkãta,ˈkɐ̃tɐ,ˈkãtɐ,kãta,denkilaː,ʙɾipɨ,i:muˈɠoɭ,p'ja
134,play,human verb,tocar,tuˈkaɾ,toka,ˈtoka,ˈtɔkɐ,ˈtɔkɐ,tɔka,kosiɾoː,ŋ͡maʃ,ˈpiwɠoɭ,p'las
135,swell,human verb,engolir,ẽguˈliɾ,nguli,ẽguˈli,ĩˈguli,ũguˈli,ŋ'guli,kunuŋdiɾoː,na,ˈmɔɗuɠoɭ,p'jɔɾ
136,kill,impact,matar,mɐˈtaɾ,mata,ˈmata,ˈmatɐ,ˈmɐtɐ,mata,faːɾoː,ɦabɨ,ˈwaɾuɠoɭ,p'fĩ
137,fight,impact,lutar,luˈtaɾ,luta,,ˈlutɐ,ˈlutɐ,luta,,kutɨ,ˈt͡ʃip:iɾuɠoɭ,u'kã
138,hunt,impact,caçar,kɐˈsaɾ,kasa,mõˈtiɐ,ˈmõtia,ˈmõtja,mõtja,,,ˈɗɐn:uɠoɭ,p'ʤã
139,hit,impact,bater,bɐˈteɾ,bati,bɔfɔˈtaɾ,ˈsutɐ,ˈsutɐ,bati,tuɾubusoː,ʁosɨ,ˈlip:uɠoɭ,p'wat
140,cut,impact,cortar,kuɾˈtaɾ,korta,kɔɾˈtaɾ,ˈkɔɾtɐ,'kɔɾta,kɔɾta,kuntuɾoː,dɛsɨ,'tat͡ʃuɠoɭ,p'fal
141,split,impact,dividir,diviˈdiɾ,dibidi,diviˈdiɾ,diviˈdi,di'bidi / si'para,dividi,talaɾoː,dɛmɨ,sẽduɠoɭ,p'fa
142,stab,impact,esfaquear,ʃfɐˈkjaɾ,fakia,fɐkiˈa,puˈɲɛlɐ,fa'kiɐ / 'kutula / pu'ɲalɐ,s'fakja,,iu,,
143,scratch,impact,arranhar,ɐʀɐˈɲaɾ,ranha,ˈraɲɐ,ˈraɲɐ,'raɲɐ,rãɲa,,,ʝap:iɾu'ɠoɭ,p'ŋiɾ
144,dig,impact,cavar,kɐˈvaɾ,koba,ˈkobɐ,ˈkɔbɐ,'kɔbɐ,kɔba,sindiɾoː,,'asuɠoɭ,p'ʤp
145,at,location,em,ˈɐ̃j̃,,ˈɐ̃j̃,,'pa,,kaɾaloː,,,
146,in,location,em,ˈɐ̃j̃,na,ˈɐ̃j̃,ˈnɐ,'na,n'na,,a,'ka,di
147,sew,misc verb,coser,kuˈzeɾ,kusi,ˈkusi,ˈkusi,'kusi,kusi,,,'ɲoʔuɠoɭ,p'lt
148,count,misc verb,contar,kõˈtaɾ,konta,ˈkõta,ˈkõtɐ,'kɔ̃ta,kõta,kontiɾoː,indemɨ,'limuɠoɭ,p'lẽʧ
149,swim,motion,nadar,nɐˈdaɾ,nada,ˈnadɐ,ˈnadɐ,'nada,nada,,wa,'warlaɠoɭ,p'lã
150,fly (v.),motion,voar,ˈvwaɾ/ˈvuaɾ,bua,ˈbwɐ,ˈbuɐ,'bwa,bu'wa,tindiroː,ɭɛmɨ,'djuɠoɭ,p'iʧ
151,walk,motion,caminhar,kɐmiˈɲaɾ,ianda,iˈɐ̃da,ˈjɐ̃dɐ,'jãda,jãda,taːmoː,fotɨ,'ja:ɠoɭ,p'mal
152,come,motion,vir,ˈviɾ,bin,ˈbĩ,ˈbĩ,'bĩ,bĩ,naː/naːɾjuŋ,bintɨ,'aruɠoɭ,bili
153,lie,motion,estar deitado,ɨʃˈtaɾ dɐjˈtadu,dita,diˈta,ˈditɐ,'dita,sta di'tadu,laːɾiŋ,aχʼĩge,'walaɠoɭ'waluɠoɭ,a'pĩʧ
154,sit,motion,sentar,sẽˈtaɾ,sinta,ˈsẽta,ˈsĩtɐ,'sĩta,sĩta,siːo,ŋ͡mese,'d͡ʒɔɗaɠoɭ,a'ʧɛf
155,stand,motion,estar em pé,ɨʃˈtaɾ ˈɐ̃j̃ ˈpɛ,firma,plãˈta,ˈjɐ̃dɐ,'fiɾma,fiɾma,loː,,'daɾuɠoɭ,a'naʧ
156,turn,motion,girar,ʒiˈɾaɾ,rodia,ˈrõdɐ,ˈviɾɐ,'viɾɐ,viɾa,muɾumuɾuŋ,,'bɛrlaɠoɭ,p'wiʧsa
157,fall,motion,cair,kɐˈiɾ,kai,kaˈi,ˈkaj,'kɐj,kai,bojoː,,'januɠoɭ,p'jar
158,float,motion,flutuar,flutuˈaɾ,boia,ˈbɔjɐ,,'bɔjɐ,boja,,,'wuⁿguɠoɭ,
159,flow,motion,fluir,fluˈiɾ,darma,,ˈdaɾmɐ,'dɛɾma,daɾma,,wasɨ,'ʜibːuɠoɭ,p'tul
